src_ip,dst_ip,rtt
192.168.182.221,138.113.182.113,0.010462
192.168.182.221,138.113.182.113,0.158791
192.168.182.221,138.113.182.113,0.055998
192.168.182.221,138.113.182.113,0.106969
192.168.182.221,138.113.182.113,0.000327
192.168.182.221,138.113.182.113,0.072352
192.168.182.221,138.113.182.113,0.001042
192.168.182.221,138.113.182.113,0.307069
192.168.182.221,138.113.182.113,0.000307
192.168.182.221,138.113.182.113,0.561940
192.168.182.221,138.113.182.113,0.000608
192.168.182.221,138.113.182.113,0.323176
192.168.182.221,138.113.182.113,0.030736
192.168.182.221,138.113.182.113,0.000341
192.168.182.221,138.113.182.113,0.623041
192.168.182.221,138.113.182.113,0.342923
192.168.182.221,138.113.182.113,0.000706
192.168.182.221,138.113.182.113,0.000383
192.168.182.221,138.113.182.113,0.139009
192.168.182.221,138.113.182.113,0.352799
192.168.182.221,142.250.192.230,0.070057
192.168.182.221,142.250.193.226,0.057632
192.168.182.221,142.250.193.226,0.001001
192.168.182.221,142.250.193.226,0.158858
192.168.182.221,142.250.193.226,0.009672
192.168.182.221,142.250.193.226,0.001518
192.168.182.221,142.250.193.226,0.000326
192.168.182.221,142.250.193.226,0.000227
192.168.182.221,142.250.193.226,0.067223
192.168.182.221,142.250.193.226,0.000155
192.168.182.221,142.250.193.226,0.162499
192.168.182.221,142.250.193.226,0.000449
192.168.182.221,142.250.194.134,0.00007
192.168.182.221,142.250.194.134,0.269943
192.168.182.221,142.250.194.134,0.004133
192.168.182.221,142.250.194.134,0.030175
192.168.182.221,142.250.194.134,0.003978
192.168.182.221,142.250.194.134,0.018359
192.168.182.221,142.250.194.134,0.001389
192.168.182.221,142.250.194.134,0.001058
192.168.182.221,142.250.194.134,0.000155
192.168.182.221,142.250.194.134,0.000377
192.168.182.221,142.250.194.134,0.000042
192.168.182.221,142.250.194.134,0.168578
192.168.182.221,142.250.194.134,0.000384
192.168.182.221,142.250.194.134,0.000075
192.168.182.221,142.250.194.134,0.000374
192.168.182.221,142.250.194.134,0.000354
192.168.182.221,142.250.194.134,0.002561
